column_id,column_name,column_type,section,join_target
sanitation_system,Sanitation system,id,,entities.sanitation_system
parent,Parent asset,id,,entities.sanitation_asset
type,Type,enum,,
name,Name,text,,
code,Unique ID,text,,
description,Description,text,,
photos,Photo,imagelist,,
location,Location,geometry,,
location_accuracy,Location precision,number,,
survey_elevation_unit_m,Survey elevation (m),number,,
survey_elevation_unit_ft,Survey elevation (ft),number,,
survey_elevation_magnitude,Survey elevation (raw magnitude),number,,
survey_elevation_unit,Survey elevation (raw unit),enum,,
survey_elevation_datum,Survey elevation datum,enum,,
location_altitude_accuracy,Elevation precision,number,,
admin_region,Administrative region,id,,admin_regions
angola_admin_region,Angola Admin Boundary,join,,regions.angola_admin
fao_river_basins_region,FAO River Basin,join,,regions.fao_river_basins
gb_education_districts_region,Education Boundaries,join,,regions.gb_education_districts
gb_rural_urban_region,GB Urban/Rural Boundaries,join,,regions.gb_rural_urban
gb_sanitary_districts_region,Sanitary District,join,,regions.gb_sanitary_districts
guinea_bissau_admin_region,Guinea Bissau Admin Boundary,join,,regions.guinea_bissau_admin
malawi_catchment_region,Malawi Water Resource Area,join,,regions.malawi_catchment
malawi_regions_region,Malawi Region,join,,regions.malawi_regions
navajo_nation_region,Navajo Nation,join,,regions.navajo_nation
ra_region,Unnamed,join,,regions.ra
somali_region_region,Somali Region,join,,regions.somali_region
test11_region,Unnamed,join,,regions.test11
tester_region,Somali region,join,,regions.tester
tzt_region,Somali,join,,regions.tzt
zim_hydro_region,Zimbabwe Hydrological Boundary,join,,regions.zim_hydro
coverage_area,Coverage area,geometry,,
sector,Sector,text,,
route,Route,text,,
address,Address,text,,
urban_rural,Urban-rural classification,enum,,
community,Community,id,,entities.community
accessible_by_road,Accessible by road,boolean,,
perimeter,Perimeter fence or wall installed,boolean,,
wheelchair_accessible,Wheelchair accessible,boolean,,
distance_to_water_source_unit_m,Distance to nearest water source (m),number,,
distance_to_water_source_unit_ft,Distance to nearest water source (ft),number,,
distance_to_water_source_magnitude,Distance to nearest water source (raw magnitude),number,,
distance_to_water_source_unit,Distance to nearest water source (raw unit),enum,,
land_occupancy,Land occupancy,enum,,
hierarchy_level_1,Level 1,text,,
hierarchy_level_2,Level 2,text,,
hierarchy_level_3,Level 3,text,,
hierarchy_level_4,Level 4,text,,
hierarchy_level_5,Level 5,text,,
hierarchy_level_6,Level 6,text,,
hierarchy_level_7,Level 7,text,,
status,Status,enum,,
condition,Condition,enum,,
functional_status,Functional status,enum,,
crc,Current replacement cost (USD),number,,
eul,Expected useful life,number,,
probability_of_failure,Probability of failure,enum,,
consequence_of_failure,Consequence of failure,enum,,
