column_id,enum_id,enum_name
type,subsystem,Subsystem
type,facility,Facility
type,sanitation_point,Sanitation point
type,connection,Connection
type,containment,Containment
type,vehicle,Vehicle
type,manhole,Manhole
type,junction,Junction
type,valve,Valve
type,flow_control,Flow control
type,structure,Structure
type,power,Power
type,electrical,Electrical
type,meter,Meter
type,sampling_point,Sampling point
type,sensor,Sensor
type,analyzer,Analyzer
type,datalogger,Datalogger
type,pump,Pump
type,tank,Tank
type,treatment,Treatment
type,dispersal,Dispersal
type,outfall,Outfall
type,other_vertical,Other vertical
type,pipe,Pipe
type,channel,Channel
survey_elevation_unit,m,meters
survey_elevation_unit,ft,feet
survey_elevation_datum,egm2008,EGM2008
survey_elevation_datum,egm2020,EGM2020
survey_elevation_datum,egm96,EGM96
survey_elevation_datum,wgs84_ellipsoid,WGS84 Ellipsoid
survey_elevation_datum,local_msl,Local mean sea level
survey_elevation_datum,tidal,Tidal datum
survey_elevation_datum,arbitrary,Arbitrary local benchmark
survey_elevation_datum,unknown,Unknown
survey_elevation_datum,other,Other
urban_rural,urban,Urban
urban_rural,peri_urban,Peri urban
urban_rural,rural,Rural
distance_to_water_source_unit,m,meters
distance_to_water_source_unit,ft,feet
land_occupancy,public_or_utility_land,Public or utility land
land_occupancy,private_land_with_agreement,"Private land, with agreement"
land_occupancy,private_land_without_agreement,"Private land, without agreement"
land_occupancy,unknown,Unknown
status,active,Active
status,backup,Backup
status,not_functional,Not functional
status,under_construction,Under construction
status,decommissioned,Decommissioned
status,disposed,Disposed
condition,excellent,Excellent
condition,good,Good
condition,fair,Fair
condition,poor,Poor
condition,very_poor,Very poor
functional_status,functional,Functional
functional_status,partially_functional,Partially functional
functional_status,not_functional,Not functional
functional_status,decommissioned,Decommissioned
probability_of_failure,very_low,Very low
probability_of_failure,low,Low
probability_of_failure,moderate,Moderate
probability_of_failure,high,High
probability_of_failure,very_high,Very high
consequence_of_failure,very_low,Very low
consequence_of_failure,low,Low
consequence_of_failure,moderate,Moderate
consequence_of_failure,high,High
consequence_of_failure,very_high,Very high
asset_risk,very_low,Very low
asset_risk,low,Low
asset_risk,moderate,Moderate
asset_risk,high,High
asset_risk,very_high,Very high
service_interval_unit,months,Months
service_interval_unit,days,Days
service_interval_unit,years,Years
nominal_diameter_unit,m,meters
nominal_diameter_unit,cm,centimeters
nominal_diameter_unit,mm,millimeters
nominal_diameter_unit,in,inches
pipe_length_manual_value_unit,m,meters
pipe_length_manual_value_unit,km,kilometers
pipe_length_manual_value_unit,ft,feet
pipe_length_manual_value_unit,yd,yards
pipe_length_manual_value_unit,mi,miles
material,cast_iron,Cast iron
material,ductile_iron,Ductile iron
material,steel,Steel
