attribute_code,attribute_name,asset_type,standard_data_type,mwater_table,mwater_column_id,mwater_column_name,mwater_column_type,match_method,candidate_count
00001,Type,,Choice,entities.water_asset,type,Type,enum,exact_name,1
00002,Name,,Text,entities.water_asset,name,Name,text,exact_name,1
00003,Asset ID,,Text,entities.water_asset,,,,unmatched,0
00004,Description,,Text,entities.water_asset,description,Description,text,exact_name,1
00005,Photo,,Image,entities.water_asset,photos,Photo,imagelist,exact_name,1
00006,Parent asset ID,,Asset ID,entities.water_asset,,,,unmatched,0
00011,Location,,Geometry,entities.water_asset,location,Location,geometry,exact_name,1
00012,Location precision,,Unit,entities.water_asset,location_accuracy,Location precision,number,exact_name,1
00013,Elevation,,Unit,entities.water_asset,location_altitude_accuracy,Elevation precision,number,unit_family,1
00014,Elevation precision,,Unit,entities.water_asset,location_altitude_accuracy,Elevation precision,number,exact_name,1
00015,Administrative region,,Text,entities.water_asset,admin_region,Administrative region,id,exact_name,1
00016,Coverage area,,Geometry,entities.water_asset,,,,unmatched,0
00017,Sector,,Text,entities.water_asset,sector,Sector,text,exact_name,1
00018,Route,,Text,entities.water_asset,route,Route,text,exact_name,1
00019,Address,,Text,entities.water_asset,address,Address,text,exact_name,1
00020,Urban-rural classification,,Choice,entities.water_asset,urban_rural,Urban-rural classification,enum,exact_name,1
00021,Community,,Text,entities.water_asset,community,Community,id,exact_name,1
00022,Accessible by road,,Checkbox,entities.water_asset,accessible_by_road,Accessible by road,boolean,exact_name,1
00023,Perimeter fence or wall installed,,Checkbox,entities.water_asset,perimeter,Perimeter fence or wall installed,boolean,exact_name,1
00031,Level 1,,Text,entities.water_asset,hierarchy_level_1,Level 1,text,exact_name,1
00032,Level 2,,Text,entities.water_asset,hierarchy_level_2,Level 2,text,exact_name,1
00033,Level 3,,Text,entities.water_asset,hierarchy_level_3,Level 3,text,exact_name,1
00034,Level 4,,Text,entities.water_asset,hierarchy_level_4,Level 4,text,exact_name,1
00035,Level 5,,Text,entities.water_asset,hierarchy_level_5,Level 5,text,exact_name,1
00036,Level 6,,Text,entities.water_asset,hierarchy_level_6,Level 6,text,exact_name,1
00037,Level 7,,Text,entities.water_asset,hierarchy_level_7,Level 7,text,exact_name,1
00041,Status,,Choice,entities.water_asset,status,Status,enum,exact_name,1
00042,Condition,,Choice,entities.water_asset,condition,Condition,enum,exact_name,1
00043,Functional status,,Choice,entities.water_asset,functional_status,Functional status,enum,exact_name,1
00051,Current replacement cost (USD),,Number,entities.water_asset,,,,unmatched,0
00052,Expected useful life,,Number,entities.water_asset,eul,Expected useful life,number,exact_name,1
00053,Probability of failure,,Choice,entities.water_asset,probability_of_failure,Probability of failure,enum,exact_name,1
00054,Consequence of failure,,Choice,entities.water_asset,consequence_of_failure,Consequence of failure,enum,exact_name,1
00055,Asset risk,,Choice,entities.water_asset,asset_risk,Asset risk,enum,exact_name,1
00056,Original cost (USD),,Number,entities.water_asset,original_cost,Original cost (USD),number,exact_name,1
00057,Current rehabilitation cost (USD),,Number,entities.water_asset,current_rehab_cost,Current rehabilitation cost (USD),number,exact_name,1
00061,Manufacturer,,Text,entities.water_asset,manufacturer,Manufacturer,text,exact_name,1
00062,Model,,Text,entities.water_asset,model,Model,text,exact_name,1
00063,Serial number,,Text,entities.water_asset,serial_number,Serial number,text,exact_name,1
00064,Additional technical details,,Text,entities.water_asset,additional_technical_details,Additional technical details,text,exact_name,1
00065,Installation date,,Date,entities.water_asset,installation_date,Installation date,date,exact_name,1
00066,Installed by,,Text,entities.water_asset,installed_by,Installed by,text,exact_name,1
00067,Funded by,,Text,entities.water_asset,funded_by,Funded by,text,exact_name,1
00068,Rehabilitation date,,Date,entities.water_asset,rehabilitation_date,Rehabilitation date,date,exact_name,1
