column_id,column_name,column_type,section,join_target
type,Type,enum,,
name,Name,text,,
description,Description,text,,
photos,Photo,imagelist,,
ht_management_type,Management type,enum,,
code,Unique ID,text,,
location,Location,geometry,,
location_accuracy,Location precision,number,,
location_altitude_accuracy,Elevation precision,number,,
survey_elevation_unit_m,Survey elevation (m),number,,
survey_elevation_unit_ft,Survey elevation (ft),number,,
survey_elevation_magnitude,Survey elevation (raw magnitude),number,,
survey_elevation_unit,Survey elevation (raw unit),enum,,
survey_elevation_datum,Survey elevation datum,enum,,
admin_region,Administrative region,id,,admin_regions
angola_admin_region,Angola Admin Boundary,join,,regions.angola_admin
fao_river_basins_region,FAO River Basin,join,,regions.fao_river_basins
gb_education_districts_region,Education Boundaries,join,,regions.gb_education_districts
gb_rural_urban_region,GB Urban/Rural Boundaries,join,,regions.gb_rural_urban
gb_sanitary_districts_region,Sanitary District,join,,regions.gb_sanitary_districts
guinea_bissau_admin_region,Guinea Bissau Admin Boundary,join,,regions.guinea_bissau_admin
malawi_catchment_region,Malawi Water Resource Area,join,,regions.malawi_catchment
malawi_regions_region,Malawi Region,join,,regions.malawi_regions
navajo_nation_region,Navajo Nation,join,,regions.navajo_nation
ra_region,Unnamed,join,,regions.ra
somali_region_region,Somali Region,join,,regions.somali_region
test11_region,Unnamed,join,,regions.test11
tester_region,Somali region,join,,regions.tester
tzt_region,Somali,join,,regions.tzt
zim_hydro_region,Zimbabwe Hydrological Boundary,join,,regions.zim_hydro
sector,Sector,text,,
route,Route,text,,
address,Address,text,,
urban_rural,Urban-rural classification,enum,,
community,Community,id,,entities.community
accessible_by_road,Accessible by road,boolean,,
perimeter,Perimeter fence or wall installed,boolean,,
wheelchair_accessible,Wheelchair accessible,boolean,,
hierarchy_level_1,Level 1,text,,
hierarchy_level_2,Level 2,text,,
hierarchy_level_3,Level 3,text,,
hierarchy_level_4,Level 4,text,,
hierarchy_level_5,Level 5,text,,
hierarchy_level_6,Level 6,text,,
hierarchy_level_7,Level 7,text,,
status,Status,enum,,
condition,Condition,enum,,
functional_status,Functional status,enum,,
wm_monitoring_status,Monitoring status,enum,,
crc,Current replacement cost,number,,
eul,Expected useful life,number,,
probability_of_failure,Probability of failure,enum,,
consequence_of_failure,Consequence of failure,enum,,
asset_risk,Asset risk,enum,,
original_cost,Original cost (USD),number,,
current_rehab_cost,Current rehabilitation cost (USD),number,,
manufacturer,Manufacturer,text,,
model,Model,text,,
serial_number,Serial number,text,,
additional_technical_details,Additional technical details,text,,
installation_date,Installation date,date,,
installed_by,Installed by,text,,
funded_by,Funded by,text,,
rehabilitation_date,Rehabilitation date,date,,
last_service_date,Last service date,date,,
rehab_by,Rehabilitated by,text,,
service_interval_unit_months,Service interval (mo),number,,
service_interval_unit_days,Service interval (d),number,,
service_interval_unit_years,Service interval (yr),number,,
service_interval_magnitude,Service interval (raw magnitude),number,,
service_interval_unit,Service interval (raw unit),enum,,
date_of_manufacture,Date of manufacture,date,,
upstream_asset,Upstream asset,id,,entities.water_asset
downstream_asset,Downstream Asset,id,,entities.water_asset
nominal_diameter_unit_m,Nominal diameter (m),number,,
nominal_diameter_unit_cm,Nominal diameter (cm),number,,
nominal_diameter_unit_mm,Nominal diameter (mm),number,,
nominal_diameter_unit_in,Nominal diameter (in),number,,
nominal_diameter_magnitude,Nominal diameter (raw magnitude),number,,
nominal_diameter_unit,Nominal diameter (raw unit),enum,,
pipe_length_manual_entry,Enter pipe length manually,boolean,,
pipe_length_manual_value_unit_m,Pipe length (manual entry) (m),number,,
pipe_length_manual_value_unit_km,Pipe length (manual entry) (km),number,,
pipe_length_manual_value_unit_ft,Pipe length (manual entry) (ft),number,,
pipe_length_manual_value_unit_yd,Pipe length (manual entry) (yd),number,,
pipe_length_manual_value_unit_mi,Pipe length (manual entry) (mi),number,,
pipe_length_manual_value_magnitude,Pipe length (manual entry) (raw magnitude),number,,
pipe_length_manual_value_unit,Pipe length (manual entry) (raw unit),enum,,
pipe_length,Pipe length (m),number,,
material,Material,enum,,
minor_loss_coef,Minor loss coefficient,number,,
roughness_coefficient,Roughness coeffient,number,,
primary_contact_name,Primary contact name,text,,
primary_contact_position,Primary contact position,text,,
primary_contact_phone,Primary contact phone number,text,,
secondary_contact_name,Secondary contact name,text,,
secondary_contact_position,Secondary contact position,text,,
secondary_contact_phone,Secondary contact phone number,text,,
date_inspected,Date inspected,date,,
alt_id,Alternate ID,text,,
import_code,Import code,text,,
total_production_unit_m3_s,Total production of system (m³/s),number,,
total_production_unit_m3_d,Total production of system (m³/d),number,,
total_production_unit_l_s,Total production of system (L/s),number,,
total_production_unit_l_d,Total production of system (L/d),number,,
total_production_unit_ml_d,Total production of system (ML/d),number,,
total_production_unit_gal_m,Total production of system (gal/min (gpm)),number,,
total_production_unit_gal_d,Total production of system (gal/d),number,,
total_production_unit_mgal_d,Total production of system (Mgal/d (mgd)),number,,
total_production_unit_m3_mo,Total production of system (m³/mo),number,,
total_production_unit_mgal_mo,Total production of system (Mgal/mo),number,,
total_production_unit_m3_h,Total production of system (m³/h),number,,
total_production_magnitude,Total production of system (raw magnitude),number,,
total_production_unit,Total production of system (raw unit),enum,,
water_facility_type,Water facility type,enum,,
process_area_type,Process area type,text,,
source_type,Source type,enum,,
source_meter_installed,Source meter installed,boolean,,
water_quality_tested,Water quality tested,boolean,,
date_water_quality_tested,Date of most recent sample,date,,
name_water_body,Name of water body,text,,
source_pressure_unit_pa,Source pressure (Pa),number,,
source_pressure_unit_kpa,Source pressure (kPa),number,,
source_pressure_unit_psi,Source pressure (psi),number,,
source_pressure_unit_ft_water,Source pressure (ft H₂O),number,,
source_pressure_unit_in_water,Source pressure (in H₂O),number,,
source_pressure_unit_m_water,Source pressure (m H₂O),number,,
source_pressure_unit_cm_water,Source pressure (cm H₂O),number,,
source_pressure_unit_bar,Source pressure (bar),number,,
source_pressure_magnitude,Source pressure (raw magnitude),number,,
source_pressure_unit,Source pressure (raw unit),enum,,
nominal_flow_unit_m3_s,Nominal flow (m³/s),number,,
nominal_flow_unit_m3_d,Nominal flow (m³/d),number,,
nominal_flow_unit_l_s,Nominal flow (L/s),number,,
nominal_flow_unit_l_d,Nominal flow (L/d),number,,
nominal_flow_unit_ml_d,Nominal flow (ML/d),number,,
