column_id,enum_id,enum_name
type,water_facility,Water facility or building
type,connection,Connection
type,water_point,Water point
type,source,Source
type,pump,Pump
type,tank,Tank
type,power,Power
type,treatment,Treatment
type,meter,Meter
type,electrical,Electrical
type,valve,Valve
type,hydrant,Hydrant
type,junction,Junction
type,sampling_point,Sampling point
type,sensor,Sensor
type,analyzer,Analyzer
type,datalogger,Datalogger
type,structure,Structure
type,pipe,Pipe
type,subsystem,Subsystem
type,canal,Canal
type,reservoir,Natural reservoir
type,river_stream,River/stream
type,aquifer,Aquifer
type,spring,Spring
type,riparian_zone,Riparian zone
type,infiltration_basin,Infiltration basin
type,forest,Forest
type,wetland,Wetland
type,watershed,Watershed
type,other_vertical,Other vertical
ht_management_type,cte,CTE
ht_management_type,caepa,CAEPA
ht_management_type,op,OP
ht_management_type,cpe,CPE
ht_management_type,unofficial,Unofficial mode of management
ht_management_type,casec,CASEC
ht_management_type,none,None
survey_elevation_unit,m,meters
survey_elevation_unit,ft,foot
survey_elevation_datum,egm2008,EGM2008
survey_elevation_datum,egm2020,EGM2020
survey_elevation_datum,egm96,EGM96
survey_elevation_datum,wgs84_ellipsoid,WGS84 Ellipsoid
survey_elevation_datum,local_msl,Local mean sea level
survey_elevation_datum,tidal,Tidal datum
survey_elevation_datum,arbitrary,Arbitrary local benchmark
survey_elevation_datum,unknown,Unknown
survey_elevation_datum,other,Other
urban_rural,urban,Urban
urban_rural,peri_urban,Peri urban
urban_rural,rural,Rural
status,active,Active
status,backup,Backup
status,not_functional,Not functional
status,planned,Planned
status,under_construction,Under construction
status,decommissioned,Decommissioned
status,disposed,Disposed
condition,excellent,Excellent
condition,good,Good
condition,fair,Fair
condition,poor,Poor
condition,very_poor,Very poor
functional_status,functional,Functional
functional_status,partially_functional,Partially functional
functional_status,not_functional,Not functional
functional_status,decommissioned,Decommissioned
wm_monitoring_status,active,Active
wm_monitoring_status,archived,Archived
probability_of_failure,very_low,Very low
probability_of_failure,low,Low
probability_of_failure,moderate,Moderate
probability_of_failure,high,High
probability_of_failure,very_high,Very high
consequence_of_failure,very_low,Very low
consequence_of_failure,low,Low
consequence_of_failure,moderate,Moderate
consequence_of_failure,high,High
consequence_of_failure,very_high,Very high
asset_risk,very_low,Very low
asset_risk,low,Low
asset_risk,moderate,Moderate
asset_risk,high,High
asset_risk,very_high,Very high
service_interval_unit,months,Months
service_interval_unit,days,Days
service_interval_unit,years,Years
nominal_diameter_unit,m,meters
nominal_diameter_unit,cm,centimeters
nominal_diameter_unit,mm,millimeters
nominal_diameter_unit,in,inches
pipe_length_manual_value_unit,m,meters
pipe_length_manual_value_unit,km,kilometers
pipe_length_manual_value_unit,ft,foot
pipe_length_manual_value_unit,yd,yard
pipe_length_manual_value_unit,mi,mile
material,brass,Brass
material,bronze,Bronze
material,copper,Copper
material,cast_iron,Cast iron
material,ductile_iron,Ductile iron
material,stainless_steel,Stainless steel
material,steel,Steel
material,galvanized,Galvanized steel
material,pvc,PVC
material,hdpe,HDPE
material,plastic,Plastic
material,monel,Monel
material,other,Other
material,asbestos,Asbestos
total_production_unit,m3_s,cubic meters per second
total_production_unit,m3_d,cubic meters per day
total_production_unit,l_s,liters per second
total_production_unit,l_d,liters per day
total_production_unit,ml_d,million liters per day
total_production_unit,gal_m,gallons per minute
total_production_unit,gal_d,gallons per day
total_production_unit,mgal_d,million gallons per day
total_production_unit,m3_mo,cubic meters per month
total_production_unit,mgal_mo,million gallons per month
total_production_unit,m3_h,cubic meters per hour
water_facility_type,intake,Intake
water_facility_type,well_field,Well field
water_facility_type,pumping_station,Pumping station
water_facility_type,distribution_system,Distribution system
water_facility_type,pipeline,Pipeline
water_facility_type,storage_facility,Storage facility
water_facility_type,treatment_plant,Treatment plant
water_facility_type,process_area,Process area
water_facility_type,other,Other
source_type,intake,Intake
source_type,spring,Spring
source_type,borehole,Borehole
source_type,dug_well,Dug well
source_type,rainwater_catchment,Rainwater catchment
source_type,other,Other
source_pressure_unit,pa,pascals
source_pressure_unit,kpa,kilopascals
source_pressure_unit,psi,pounds per square inch
source_pressure_unit,ft_water,feet of water (39.2 F)
source_pressure_unit,in_water,inches of water (39.2 F)
source_pressure_unit,m_water,meters of water (4 C)
source_pressure_unit,cm_water,centimeters of water (4 C)
source_pressure_unit,bar,bars
nominal_flow_unit,m3_s,cubic meters per second
nominal_flow_unit,m3_d,cubic meters per day
nominal_flow_unit,l_s,liters per second
nominal_flow_unit,l_d,liters per day
nominal_flow_unit,ml_d,million liters per day
nominal_flow_unit,gal_m,gallons per minute
nominal_flow_unit,gal_d,gallons per day
nominal_flow_unit,mgal_d,million gallons per day
nominal_flow_unit,m3_h,cubic meters per hour
nominal_flow_unit,l_m,liters per minute
minimum_flow_unit,m3_s,cubic meters per second
minimum_flow_unit,m3_d,cubic meters per day
minimum_flow_unit,l_s,liters per second
minimum_flow_unit,l_d,liters per day
minimum_flow_unit,ml_d,million liters per day
minimum_flow_unit,gal_m,gallons per minute
minimum_flow_unit,gal_d,gallons per day
minimum_flow_unit,mgal_d,million gallons per day
minimum_flow_unit,m3_h,cubic meters per hour
minimum_flow_unit,l_m,liters per minute
maximum_flow_unit,m3_s,cubic meters per second
maximum_flow_unit,m3_d,cubic meters per day
maximum_flow_unit,l_s,liters per second
maximum_flow_unit,l_d,liters per day
maximum_flow_unit,ml_d,million liters per day
maximum_flow_unit,gal_m,gallons per minute
maximum_flow_unit,gal_d,gallons per day
maximum_flow_unit,mgal_d,million gallons per day
maximum_flow_unit,m3_h,cubic meters per hour
maximum_flow_unit,l_m,liters per minute
ht_source_assessment,good,Good
ht_source_assessment,average,Average
ht_source_assessment,bad,Bad
well_depth_unit,m,meters
well_depth_unit,ft,foot
well_diameter_unit,m,meters
well_diameter_unit,cm,centimeters
well_diameter_unit,mm,millimeters
well_diameter_unit,in,inches
static_water_level_unit,m,meters
static_water_level_unit,ft,foot
static_water_level_unit,cm,centimeters
static_water_level_unit,in,inches
dynamic_water_level_unit,m,meters
dynamic_water_level_unit,ft,feet
dynamic_water_level_unit,cm,centimeters
dynamic_water_level_unit,in,inches
groundwater_temperature_unit,c,degrees celsius
pump_or_lifting_device,submersible,Submersible pump
pump_or_lifting_device,hand_pump,Hand pump
pump_or_lifting_device,rope_bucket,Rope and bucket
pump_or_lifting_device,other,Other
pump_or_lifting_device,none,None
spring_box_length_unit,m,meters
spring_box_length_unit,ft,feet
spring_box_length_unit,cm,centimeters
spring_box_length_unit,in,inches
spring_box_width_unit,m,meters
spring_box_width_unit,ft,feet
spring_box_width_unit,cm,centimeters
spring_box_width_unit,in,inches
spring_box_depth_unit,m,meters
spring_box_depth_unit,ft,feet
spring_box_depth_unit,cm,centimeters
spring_box_depth_unit,in,inches
casing_diameter_unit,m,meters
casing_diameter_unit,cm,centimeters
casing_diameter_unit,mm,millimeters
casing_diameter_unit,in,inches
depth_of_casing_unit,m,meters
depth_of_casing_unit,ft,feet
casing_material,steel,Steel
casing_material,stainless_steel,Stainless steel
casing_material,pvc,PVC
casing_material,plastic,Plastic
casing_material,concrete,Concrete
casing_material,fiberglass,Fiberglass
casing_material,galvanized,Galvanized steel
casing_material,other,Other
screen_length_unit,m,meters
screen_length_unit,ft,feet
pump_position_unit,m,meters
pump_position_unit,ft,feet
pump_type,submersible,Submersible
pump_type,axial_flow,Axial flow
pump_type,centrifugal,Centrifugal
pump_type,reciprocating,Reciprocating
pump_type,positive_displacement,Positive displacement
pump_type,hand_pump,Hand pump
pump_type,hydraulic_ram,Hydraulic ram
pump_type,other,Other
pump_configuration,submersible,Submersible
pump_configuration,surface,Surface
pump_configuration,booster,Booster
pump_configuration,inline,Inline
pump_configuration,other,Other
pump_diameter_unit,m,meters
pump_diameter_unit,cm,centimeters
pump_diameter_unit,mm,millimeters
pump_diameter_unit,in,inches
pump_power_rating_unit,w,watts
pump_power_rating_unit,kw,kilowatts
pump_power_rating_unit,hp,horsepower
pump_motor_configuration,integrated,Integrated with pump
pump_motor_configuration,separate,Separate from pump
pump_sleeve_material,galvanized,Galvanized
pump_sleeve_material,steel,Steel
pump_sleeve_material,plastic,Plastic
pump_sleeve_material,pvc,PVC
pump_sleeve_material,upvc,UPVC
pump_sleeve_material,stainless_steel,Stainless steel
pump_sleeve_material,steel,Steel
pump_sleeve_material,fiberglass,Fiberglass
pump_sleeve_material,other,Other
pump_sleeve_diameter_unit,mm,millimeters
pump_sleeve_diameter_unit,cm,centimeters
pump_sleeve_diameter_unit,in,inches
riser_pipe,glued,Glued
riser_pipe,threaded,Threaded
riser_pipe_length_unit,m,meters
riser_pipe_length_unit,ft,foot
riser_pipe_diameter_unit,cm,centimeters
riser_pipe_diameter_unit,in,inches
riser_pipe_diameter_unit,mm,millimeters
riser_pipe_material,galvanized,Galvanized
riser_pipe_material,steel,Steel
riser_pipe_material,plastic,Plastic
riser_pipe_material,pvc,PVC
riser_pipe_material,upvc,UPVC
riser_pipe_material,stainless,Stainless steel
riser_pipe_material,steel,Steel
riser_pipe_material,fiberglass,Fiberglass
riser_pipe_material,other,Other
pump_depth_unit,m,meters
