type_code,asset_class,type_id,type_name,description,allowed_parent_classes
01,System,sanitation_system,Sanitation system,"Collection of assets that work together as a system to contain, collect, transport, treat, and safely dispose of or reuse wastewater and faecal sludge",
02,System,subsystem,Subsystem,Functional or administrative subdivision of a larger sanitation system,
01,Facility,facility,Facility,"Physical location where specific functions are performed in the collection, transport, treatment, disposal, or reuse of wastewater and faecal sludge; optional, used to organize or locate the assets contained in large and complex systems.",
15,Vertical,sanitation_point,Sanitation point,"Location or facility where users access sanitation services, including toilets, latrines, urinals, and communal or public sanitation blocks",
22,Vertical,connection,Connection,Property or customer location that receives sanitation service,
16,Vertical,containment,Containment,Structure that holds excreta and wastewater at or near where they are generated; some types also provide partial treatment,
17,Vertical,vehicle,Vehicle,"Mobile asset used to empty, transport, or transfer faecal sludge, septage, or wastewater",
18,Vertical,manhole,Manhole,"Structure that provides access to a sewer for inspection, cleaning, and maintenance; includes inspection chambers and cleanouts",
10,Vertical,junction,Junction,Section of a piped network that joins two or more pipes or conduits,
08,Vertical,valve,Valve,"Mechanical device designed to close off or regulate the flow of wastewater, sludge, air, or other fluids in a pipe or closed conduit",
21,Vertical,flow_control,Flow control,"Structure or device that diverts, splits, restricts, releases, or measures flow in an open channel or basin",
14,Vertical,structure,Structure,Anything that is constructed or built with a fixed location on the ground,
04,Vertical,power,Power,"Device that supplies electrical power for use by electrical equipment, such as a generator, solar power system, wind turbine, or connection to a power grid",
07,Vertical,electrical,Electrical,Electrical or electronic device,
06,Vertical,meter,Meter,"Device for measuring the flow rate of wastewater, effluent, or sludge through a pipe or open channel",
11,Vertical,sampling_point,Sampling point,"Location or access point that allows a sample of influent, effluent, sludge, or receiving water to be collected for testing",
12,Vertical,sensor,Sensor,Device that measures a physical condition or parameter of interest,
13,Vertical,analyzer,Analyzer,"Device that conducts periodic or continuous measurements of a wastewater, effluent, or process quality parameter",
23,Vertical,datalogger,Datalogger,"Device that automatically records measurements over time from connected sensors, meters, or analyzers, and stores the data locally or transmits it to a remote system",
02,Vertical,pump,Pump,Mechanical or electromechanical device that increases the hydraulic head (pressure) of a fluid flowing through it,
03,Vertical,tank,Tank,"Structure or container used to hold wastewater, sludge, chemicals, or other fluids within a conveyance network or treatment facility; on-site vessels such as septic tanks are classified under Containment",
05,Vertical,treatment,Treatment,"Equipment or process unit that improves the physical, chemical, or biological quality of wastewater or faecal sludge, including separation, stabilization, and dewatering of solids",
19,Vertical,dispersal,Dispersal,Structure that discharges treated or partially treated effluent to the soil for infiltration and/or evapotranspiration,
20,Vertical,outfall,Outfall,"Point or structure where effluent, overflow, or emergency discharge leaves the system and enters a receiving water body or the environment",
99,Vertical,other_vertical,Other vertical,Any other type of vertical asset not defined elsewhere in this standard,
01,Horizontal,pipe,Pipe,"Conduit that carries wastewater, sludge, or other fluids from one location to another",
02,Horizontal,channel,Channel,"Artificial open or covered channel constructed to convey wastewater, effluent, or combined flows from one location to another. Includes natural watercourses that have been substantially modified (lined, regraded, or walled) and are managed as part of the system",
