code,name,scope,asset_class,asset_type,asset_type_id,data_type,unit_quantity,si_unit,description,applicability,required,attribute_group
00001,Type,general,,,,Choice,,,Type of asset,,,Basic Info
00002,Name,general,,,,Text,,,Name used by technical staff to refer to the asset; might be left blank for many lower level assets,,,Basic Info
00003,Unique ID,general,,,,Text,,,Unique number automatically assigned when creating an asset,,,Basic Info
00004,Description,general,,,,Text,,,Additional information to help staff locate or identify an asset,,,Basic Info
00005,Photo,general,,,,Image,,,Photos of the asset,,,Basic Info
00006,Parent asset,general,,,,Asset ID,,,Asset ID of the asset that is a parent to this asset,,,Basic Info
00011,Location,general,,,,Geometry,,,"Geographic location of the asset on the surface of the Earth; may be a point, line, or polygon",,,Location
00012,Location precision,general,,,,Unit,Length,m,"Estimated uncertainty in the geographic coordinates, expressed as a distance",,,Location
00013,Survey elevation,general,,,,Unit,Length,m,"Height above a reference surface, as measured by surveying or high-precision GNSS equipment; used for hydraulic modeling and engineering design. This value is distinct from the altitude captured automatically with GPS coordinates. For chambered assets such as manholes, the surveyed point is the center of the cover",,,Location
00024,Survey elevation datum,general,,,,Choice,,,Vertical reference system used for Survey elevation and Invert level values,,,Location
00014,Elevation precision,general,,,,Unit,Length,m,Estimated uncertainty in the measurement of the elevation,,,Location
00015,Administrative region,general,,,,Text,,,"Name that describes the administrative geography of the location; multiple levels may be separated by commas starting with the most general area, for example: Region, District, Municipality",,,Location
00016,Coverage area,general,,,,Geometry,,,Geographical area where the sanitation system or service provides coverage or is legally obligated to serve,"Type: Sanitation system, Facility",,Location
00017,Sector,general,,,,Text,,,Name for a sub-region of the coverage area that is defined by geography or the physical layout of the collection network,,,Location
00018,Route,general,,,,Text,,,"Name or number of the service route, such as a scheduled emptying (desludging) route, which defines the assets assigned to a particular staff member or team","Type: Sanitation point, Containment, Connection",,Location
00019,Address,general,,,,Text,,,"Physical address or postal address where the asset is located; in the case of sewer or property connections, the address of the customer",,,Location
