attribute_code,choice_id,choice_name,description
00024,ellipsoid_wgs84,Ellipsoid (WGS84),"Height above the WGS84 reference ellipsoid, as reported by GNSS receivers"
00024,mean_sea_level,Mean sea level,Height above local mean sea level or a national vertical datum
00024,other,Other,Any other vertical reference system; describe in Additional technical details
00020,urban,Urban,Cities or densely populated areas
00020,peri_urban,Peri urban,"Towns and semi-dense areas, suburbs, or peri urban areas surrounding cities"
00020,rural,Rural,Regions with low population density
00027,public_or_utility_land,Public or utility land,"Asset lies in public land, a road reserve, or land owned or controlled by the service provider"
00027,private_land_with_agreement,"Private land, with agreement","Asset crosses land owned by others, with a documented easement, right-of-way, or written agreement"
00027,private_land_without_agreement,"Private land, without agreement","Asset crosses land owned by others without a documented arrangement, such as informal or customary permission"
00027,unknown,Unknown,Land status has not been determined
00041,active,Active,Asset is in use or ready to use
00041,backup,Backup,Asset is installed or available onsite to be used as a backup to other similar assets in case of maintenance or failure
00041,not_functional,Not functional,Asset is not currently operational due to a failure or maintenance problem
00041,under_construction,Under construction,Asset is not operational because it is under construction
00041,decommissioned,Decommissioned,Asset is no longer in use because it is permanently out of service
00041,disposed,Disposed,"Asset has been sold, demolished, or relocated to a disposal site"
00042,excellent,Excellent,"Designed to current standards, operable and well-maintained"
00042,good,Good,"Showing some signs of minor wear and tear, with minimal impact on performance; or, operable and well-maintained but not designed to current standards"
00042,fair,Fair,Structurally sound but some deterioration or damage that is beginning to impact performance or require more frequent maintenance
00042,poor,Poor,Functional but requires a high level of maintenance to continue operating or requires major rehabilitation or replacement
00042,very_poor,Very poor,Serious problems that impact performance or safety; major rehabilitation or replacement required in the short term
00043,functional,Functional,In good working condition and regularly providing service according to the specifications in the original design
00043,partially_functional,Partially functional,Provides service on a regular basis (possibly in a reduced capacity) but repairs are needed due to some maintenance or structural issue
00043,not_functional,Not functional,"No longer providing service on a regular basis; this could be due to maintenance issues, structural failure, or problems with physical access"
00043,decommissioned,Decommissioned,"Permanently taken out of service, abandoned, or could not be found"
00053,very_low,Very low,
00053,low,Low,
00053,moderate,Moderate,
00053,high,High,
00053,very_high,Very high,
00054,very_low,Very low,
00054,low,Low,
00054,moderate,Moderate,
00054,high,High,
00054,very_high,Very high,
00055,very_low,Very low,
00055,low,Low,
00055,moderate,Moderate,
00055,high,High,
00055,very_high,Very high,
00094,cast_iron,Cast iron,"Heavy brittle alloy of iron, carbon, and silicon that can be cast in specific shapes and has the ability to withstand shocks"
00094,ductile_iron,Ductile iron,"Similar material to cast iron, but with the primary graphite in a nodular or spheroidal form, giving it increased strength and flexibility"
00094,steel,Steel,Iron-base alloy containing up to 2 percent carbon that is heat treated
00094,stainless_steel,Stainless steel,Chromium alloy steel that is resistant to rusting and corrosion
00094,galvanized_steel,Galvanized steel,Steel that has a zinc coating to protect from corrosion and rust
00094,vitrified_clay,Vitrified clay,"Clay pipe fired at high temperature to form a chemically inert, corrosion-resistant material widely used in gravity sewers"
00094,concrete,Concrete,"Mixture of cement and aggregate, usually reinforced with steel wire or rebar; includes reinforced concrete pipe and cast-in-place chambers"
00094,masonry,Masonry,"Brick, stone, or concrete blocks that are bound together with mortar; common in legacy trunk sewers and chambers"
